network,mean,sd,min,max
CON_SML,0.12611911525454544,0.04800396551927612,-2.54e-4,0.268890843
CON_REW,0.09204712994545454,0.07128045309400916,-0.082923743,0.291780433
CON_MTL,0.07860266052727273,0.04820490575651347,-0.010490932,0.187175412
CON_PMN,0.0787159462909091,0.0800275673347132,-0.090642108,0.320945603
DAN_VAN,0.10400135981818182,0.0689188025440156,-0.034817298000000003,0.304922612
DAN_VIS,0.19792338334545453,0.07208146967086758,0.005025005,0.328867937
DAN_SMD,0.16405667683636363,0.07726165976952225,-0.035271254,0.307714447
DAN_SML,0.06219808112727272,0.06341392442117104,-0.114506548,0.206536015
DAN_REW,0.08067177607272727,0.054118780400692616,-0.069689247,0.184352879
DAN_MTL,0.09344227483636364,0.057740913234765344,-0.042204355,0.213784684
DAN_PMN,0.22783362989090908,0.12188851090047763,-0.039378574,0.495896467
VAN_VIS,0.11060180403636363,0.09137117547677732,-0.10053565,0.297313019
VAN_SMD,0.10837572074545454,0.07423273340381197,-0.077220576,0.247122501
VAN_SML,0.15066835801818182,0.05440977306144764,0.03997306,0.258689327
VAN_REW,0.08687325772727272,0.07542281977467404,-0.066974631,0.261666278
VAN_MTL,0.10757731385454546,0.07333459211552769,-0.05482903,0.274542929
VAN_PMN,0.10975040376363636,0.09081785861507784,-0.10825122,0.351051916
VIS_SMD,0.10868196794545455,0.05454322223672977,-0.015933547,0.224860445
VIS_SML,0.1287845694181818,0.056475555000374496,-0.044386153,0.244054312
VIS_REW,0.06645544970909091,0.0663291000755282,-0.107380547,0.198489684
VIS_MTL,0.08202017003636364,0.06574881214553695,-0.044949633,0.237336322
VIS_PMN,0.20566119765454546,0.098210682433348,-0.015454334,0.480412325
SMD_SML,0.1386748238909091,0.06344109571350771,-0.033829211,0.250224786
SMD_REW,0.06482783352727273,0.07191792191091442,-0.096932436,0.21691752
SMD_MTL,0.07123302325454546,0.054996880541824285,-0.06056567,0.179224592
SMD_PMN,0.1493373656181818,0.10141328786196264,-0.113346488,0.445214582
SML_REW,0.080083131,0.05068983153419888,-0.028330205,0.182615415
SML_MTL,0.07874907705454545,0.056215265205518235,-0.072182712,0.214798994
SML_PMN,0.06618601076363637,0.06029786286804067,-0.074113321,0.205239901
REW_MTL,0.19123744623636363,0.14319392151558755,-0.211056358,0.52044604
REW_PMN,0.06484028616363637,0.08853056700639926,-0.197356404,0.235414687
MTL_PMN,0.02424083338181818,0.09202379552087821,-0.152122557,0.260887378
